pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
156.224999,-70.949997,-90.0,top,BACK1,,D3SH-_0R1,D3SH-A0R1,smt,True
133.35,-64.008,0.0,top,C1,,C_0603_1608Metric,10nF,smt,True
118.618,-68.834,-90.0,bottom,C10,,C_0603_1608Metric,0.1uF,smt,True
150.876,-64.516,-90.0,bottom,C11,,C_0603_1608Metric,0.1uF,smt,True
152.4,-64.516,-90.0,bottom,C12,,C_0603_1608Metric,0.1uF,smt,True
141.609987,-77.643045,0.0,bottom,C13,,C_0603_1608Metric,0.1uF,smt,True
119.367,-115.57,180.0,top,C14,,C_0603_1608Metric,0.1uF,smt,True
131.064,-115.316,-90.0,top,C15,,C_0603_1608Metric,0.1uF,smt,True
142.227,-115.316,0.0,top,C16,,C_0603_1608Metric,0.1uF,smt,True
134.112,-80.01,0.0,top,C17,,C_0603_1608Metric,0.1uF,smt,True
130.823,-82.296,180.0,top,C18,,C_0603_1608Metric,0.1uF,smt,True
130.061,-84.074,180.0,top,C19,,C_0603_1608Metric,0.1uF,smt,True
157.48,-93.485,-90.0,top,C2,,C_0603_1608Metric,0.1uF,smt,True
140.97,-82.55,180.0,top,C20,,C_0603_1608Metric,0.1uF,smt,True
139.205,-80.01,0.0,top,C21,,C_0603_1608Metric,0.1uF,smt,True
155.956,-93.485,-90.0,top,C3,,C_0603_1608Metric,0.1uF,smt,True
139.713,-64.008,0.0,top,C4,,C_0603_1608Metric,0.1uF,smt,True
141.478,-57.658,-90.0,top,C5,,C_0603_1608Metric,2.2nF,smt,True
121.518814,-158.899302,90.0,bottom,C6,,C_0603_1608Metric,10uF,smt,True
143.5,-168.0,90.0,bottom,C7,,C_0603_1608Metric,4.7uF,smt,True
154.432,-163.83,-90.0,bottom,C8,,C_0603_1608Metric,10uF,smt,True
117.094,-68.834,-90.0,bottom,C9,,C_0603_1608Metric,0.1uF,smt,True
123.444,-61.722,-90.0,top,CON1,,PinHeader_1x03_P1.00mm_Vertical,PinHeader_1x03_P1.00mm_Vertical,tht,True
156.299999,-62.649999,-90.0,top,FORWARD1,,D3SH-_0L1,D3SH-A0L1,smt,True
116.078,-52.07,0.0,top,H1,,MountingHole_2.2mm_M2,MountingHole_2.2mm_M2,tht,False
156.972,-52.07,0.0,top,H2,,MountingHole_2.2mm_M2,MountingHole_2.2mm_M2,tht,False
156.972,-171.704,0.0,top,H3,,MountingHole_2.2mm_M2,MountingHole_2.2mm_M2,tht,False
116.078,-171.704,0.0,top,H4,,MountingHole_2.2mm_M2,MountingHole_2.2mm_M2,tht,False
126.5,-158.0,90.0,bottom,IC1,,SOP50P490X110-10N,MCP73833,smt,True
